Name,Cities,Algorithm,Executer,Iterations,Timelimit,Fitness,Gap,Time
eil101,101,ga,single,inf,30,714.5486450195312,11.25,30.02
eil101,101,ga,single,inf,60,694.0198974609375,8.05,60.00
eil101,101,ga,single,500,None,740.8201293945312,15.340000000000002,12.15
eil101,101,ga,single,1000,None,715.1535034179688,11.34,24.27
eil101,101,ga,multi,inf,30,685.8603515625,6.78,30.00
eil101,101,ga,multi,inf,60,683.83642578125,6.47,60.00
eil101,101,ga,multi,500,None,844.6394653320312,31.5,0.45
eil101,101,ga,multi,1000,None,765.7063598632812,19.21,0.92
eil101,101,ga,gpu,inf,30,693.8770751953125,8.03,30.00
eil101,101,ga,gpu,inf,60,684.8726806640625,6.63,60.00
eil101,101,ga,gpu,500,None,844.6394653320312,31.5,0.58
eil101,101,ga,gpu,1000,None,765.7063598632812,19.21,1.18
eil101,101,ga,hybrid,inf,30,689.0318603515625,7.2700000000000005,30.01
eil101,101,ga,hybrid,inf,60,684.8726806640625,6.63,60.00
eil101,101,ga,hybrid,500,None,844.6394653320312,31.5,0.70
eil101,101,ga,hybrid,1000,None,765.7063598632812,19.21,1.37
eil101,101,aco,single,inf,30,679.5157470703125,5.79,30.05
eil101,101,aco,single,inf,60,679.5157470703125,5.79,60.16
eil101,101,aco,single,500,None,679.5157470703125,5.79,86.31
eil101,101,aco,single,1000,None,677.70947265625,5.510000000000001,172.39
eil101,101,aco,multi,inf,30,677.70947265625,5.510000000000001,30.01
eil101,101,aco,multi,inf,60,672.9217529296875,4.77,60.01
eil101,101,aco,multi,500,None,679.5157470703125,5.79,7.01
eil101,101,aco,multi,1000,None,677.70947265625,5.510000000000001,14.01
eil101,101,aco,gpu,inf,30,671.1787719726562,4.49,30.00
eil101,101,aco,gpu,inf,60,671.1787719726562,4.49,60.00
eil101,101,aco,gpu,500,None,680.8486328125,6.0,1.00
eil101,101,aco,gpu,1000,None,680.8486328125,6.0,1.98
eil101,101,aco,hybrid,inf,30,671.1787719726562,4.49,30.00
eil101,101,aco,hybrid,inf,60,671.1787719726562,4.49,60.00
eil101,101,aco,hybrid,500,None,680.8486328125,6.0,1.32
eil101,101,aco,hybrid,1000,None,680.8486328125,6.0,2.37
eil101,101,pso,single,inf,30,711.4862670898438,10.77,30.02
eil101,101,pso,single,inf,60,705.5875854492188,9.85,60.02
eil101,101,pso,single,500,None,687.9953002929688,7.109999999999999,25.28
eil101,101,pso,single,1000,None,687.7301635742188,7.07,46.53
eil101,101,pso,multi,inf,30,705.5875854492188,9.85,30.01
eil101,101,pso,multi,inf,60,705.5875854492188,9.85,60.01
eil101,101,pso,multi,500,None,687.9953002929688,7.109999999999999,15.42
eil101,101,pso,multi,1000,None,687.7301635742188,7.07,29.71
eil101,101,pso,gpu,inf,30,705.5875854492188,9.85,30.05
eil101,101,pso,gpu,inf,60,705.5875854492188,9.85,60.01
eil101,101,pso,gpu,500,None,687.9953002929688,7.109999999999999,14.62
eil101,101,pso,gpu,1000,None,687.7301635742188,7.07,27.83
eil101,101,pso,hybrid,inf,30,705.5875854492188,9.85,30.02
eil101,101,pso,hybrid,inf,60,705.5875854492188,9.85,60.01
eil101,101,pso,hybrid,500,None,687.9953002929688,7.109999999999999,15.71
eil101,101,pso,hybrid,1000,None,687.7301635742188,7.07,30.04
tsp225,225,ga,single,inf,30,5279.224609375,36.8,30.02
tsp225,225,ga,single,inf,60,4653.16162109375,20.580000000000002,60.02
tsp225,225,ga,single,500,None,7533.8984375,95.23,13.47
tsp225,225,ga,single,1000,None,5460.66943359375,41.5,26.75
tsp225,225,ga,multi,inf,30,5013.69287109375,29.92,30.00
tsp225,225,ga,multi,inf,60,4596.83837890625,19.12,60.01
tsp225,225,ga,multi,500,None,11343.859375,193.96,1.05
tsp225,225,ga,multi,1000,None,9699.3623046875,151.34,1.36
tsp225,225,ga,gpu,inf,30,5175.900390625,34.13,30.00
tsp225,225,ga,gpu,inf,60,4676.48828125,21.18,60.00
tsp225,225,ga,gpu,500,None,11343.859375,193.96,0.69
tsp225,225,ga,gpu,1000,None,9699.3623046875,151.34,1.67
tsp225,225,ga,hybrid,inf,30,5123.73583984375,32.769999999999996,30.00
tsp225,225,ga,hybrid,inf,60,4676.48828125,21.18,60.00
tsp225,225,ga,hybrid,500,None,11343.859375,193.96,0.68
tsp225,225,ga,hybrid,1000,None,9699.3623046875,151.34,1.66
tsp225,225,aco,single,inf,30,4190.5361328125,8.59,30.73
tsp225,225,aco,single,inf,60,4190.5361328125,8.59,60.49
tsp225,225,aco,single,500,None,4144.4560546875,7.3999999999999995,371.57
tsp225,225,aco,single,1000,None,4142.7646484375,7.35,743.63
tsp225,225,aco,multi,inf,30,4144.4560546875,7.3999999999999995,30.05
tsp225,225,aco,multi,inf,60,4142.7646484375,7.35,60.04
tsp225,225,aco,multi,500,None,4144.4560546875,7.3999999999999995,26.83
tsp225,225,aco,multi,1000,None,4142.7646484375,7.35,53.60
tsp225,225,aco,gpu,inf,30,4092.51123046875,6.05,30.00
tsp225,225,aco,gpu,inf,60,4092.51123046875,6.05,60.00
tsp225,225,aco,gpu,500,None,4149.01708984375,7.5200000000000005,3.40
tsp225,225,aco,gpu,1000,None,4092.51123046875,6.05,6.72
tsp225,225,aco,hybrid,inf,30,4099.41259765625,6.23,30.00
tsp225,225,aco,hybrid,inf,60,4099.41259765625,6.23,60.00
tsp225,225,aco,hybrid,500,None,4149.01708984375,7.5200000000000005,3.84
tsp225,225,aco,hybrid,1000,None,4092.51123046875,6.05,7.45
tsp225,225,pso,single,inf,30,22335.685546875,478.78999999999996,30.04
